6632378187823588974002457910686.
0.040000000000000001
(18.5983390431606,-4.93751587593185)
(7.99249969264566,17.3000754469913)
(-16.3042908159470,11.3150632687564)
(-15.7031034484007,-13.8610086748055)
(8.61552967989029,-18.7423211627567)
(18.0447175818357,3.21821227216616)
(-1.06057451765818,15.8463425946291)
(-16.1110680626076,-0.690385756577042)
(-2.01275208444691,-18.1745939817672)
(18.0044771692352,-7.07223046778752)
(10.7624934487146,14.9848404176162)
(-12.3136694387910,12.0987405302324)
(-13.7251887894129,-10.9936994883804)
(8.71728052160950,-16.4411253181349)
(18.0784411474682,4.84601817384438)
(-1.38293410123086,18.0753511042152)
(-18.1909040029520,1.29775771708775)
(-4.83382253825860,-18.4318163948725)
(17.0462528752211,-8.88859219304229)
(11.5393013365097,14.5330268615734)
(-12.8645045413877,13.4122168725159)
(-16.5425961884486,-11.1275826249829)
(6.97344257865660,-19.7005861900106)
(20.0646064663511,1.67096384914120)
(1.69422064094085,18.6641727231808)
(-18.5082099225324,4.01198952763770)
(-8.19165641914872,-18.4803569410771)
(15.4344876692405,-12.7133770876274)
(13.8818372467713,11.1051524425774)
(-9.78128594512724,13.3506947554601)
(-15.9214748231743,-10.0705802636781)
(6.72274720814364,-20.6264748417894)
(21.9599126978327,0.0534424338073609)
(4.60712937619799,19.5361055988283)
(-18.1382280455324,6.53471663066439)
(-10.0498720100729,-18.3007956223950)
(15.7205662604448,-15.3105501354572)
(17.7413384389179,10.3709822836250)
(-6.99483509522775,17.2129386312302)
(-18.4773519572007,-5.72329547987391)
(1.63608678273081,-21.4805931902884)
(20.8207827369945,-5.16338919867507)
(8.76242658927510,16.2512435636474)
(-13.8739472572393,8.33063400967723)
(-9.84806055436110,-14.9891281573231)
(13.7969977070191,-14.8730599727308)
(17.7344128862712,8.55701013839986)
(-4.79259738407396,16.5323199774585)
(-16.6294123899768,-4.46487432202931)
(2.27665922071176,-19.9790788254438)
(21.2872639670548,-3.78248657779134)
(8.52590417993344,18.4735707720658)
(-16.5806000011994,10.0465411945100)
(-13.6150790727363,-17.0957821351898)
(13.9140881734194,-20.5802540985755)
(23.8483216911680,4.96378968339946)
(2.36639759232287,19.8649585718361)
(-15.2193886808252,3.09339395846201)
(-2.33728003352117,-15.4986355479727)
(16.9516325585457,-5.35354495917022)
(9.19511993558786,15.1791072553271)
(-12.9320887041379,10.3967776366911)
(-11.9825748066932,-12.9604041620432)
(11.7391016951055,-16.4133252432195)
(19.8206795166302,6.64888300744340)
(-1.42952582966942,19.3162763458670)
(-18.1537584650622,1.15407033847088)
(-4.01882617160987,-18.4005481392643)
(16.9190112479594,-8.27131052859322)
(10.0167722402091,13.4034418129000)
(-12.8166539043069,9.44426217501666)
(-12.8377966299819,-14.7523445413880)
(11.2725658312389,-19.9863262990601)
(21.0657717830733,1.64714005255809)
(2.58739238112982,13.3941444120759)
(-9.46352524414677,-4.22002429800750)
(10.0296953615295,-18.5899939996522)
(31.1482862198301,1.98175503124658)
(14.6167514677694,32.1984600118160)
(-22.0270844712989,25.4224996262125)
(-26.9842945131314,-11.7238300892932)
(5.80921914379760,-26.0670558086285)
(25.9172832363929,0.903683050384999)
(4.19759664428755,24.7561720898385)
(-22.9346973832277,8.19227868292196)
(-12.4983990916441,-21.3839749242362)
(17.4223774556658,-17.5589182871112)
(18.9263945787280,10.6858115815838)
(-7.53395198840164,15.4266947613451)
(-14.9209873724039,-10.8720775193320)
(12.1891526378467,-22.7224543536206)
(30.8829151104327,3.51955659115594)
(9.09208572165345,29.2879787863268)
(-21.2461348403340,14.7134882139686)
(-14.1642187773947,-16.9618485821360)
(17.0023171223494,-16.0735992440714)
(21.3309270459780,14.1845451975072)
(-7.72707369137055,23.6706964330097)
(-22.4275569342458,-3.28635360636168)
(1.36660319853676,-22.7455885509958)
(24.8778805051779,-2.84855517193214)
(9.47749579766772,24.1220063125968)
(-20.2710721224488,13.9901396437283)
(-16.1443402424025,-17.4231679271023)
(15.5112189815327,-19.5925821276390)
(23.7969904545117,10.9627040971568)
(-4.49573032457206,24.9759104217982)
(-23.6651728001698,0.0919070867925238)
(-3.22697821245729,-23.2444232838334)
(22.9492750241231,-7.72546529041640)
(12.1186973982577,20.2961967848142)
(-17.6094287136616,13.9760073962995)
(-16.6796693144636,-17.5185450621309)
(15.3066067876620,-23.6294408133916)
(28.9264581144537,5.78144959644020)
(4.98864410724603,24.6411676697844)
(-15.3967914349425,6.19216332870052)
(0.492248909114111,-14.0162019543283)
(22.6064975127906,1.80293497897867)
(8.11049750614903,29.3274603891261)
(-25.6428192218504,20.5288045559173)
(-26.1882885488172,-16.2867307605668)
(9.14872963271910,-26.3812860826831)
(26.4948608177040,4.70344688033212)
(0.228644707318369,27.1163326378488)
(-26.2664369476922,5.67928119733832)
(-10.1953598222726,-24.2829471076651)
(22.1784148507407,-14.2449608131581)
(18.3991319437446,19.2914717502633)
(-15.2903335894303,21.7750031356441)
(-24.1967302151613,-11.0424241434532)
(6.26381850796762,-26.3754667987301)
(27.2255179576702,0.0550265611301440)
(5.83078740319679,25.0632794664464)
(-21.7418758720178,8.63322957344629)
(-9.77221043741424,-20.9548338650416)
(22.0190663046555,-13.5986796367049)
(20.4263029179288,20.2144309631102)
(-14.0167212269614,25.6781091521461)
(-26.8161026101585,-7.15112804572333)
(2.44667309404325,-26.3222224582894)
(26.5899791076648,-1.62464128787753)
(6.86368782446655,26.4375762059774)
(-24.3690815068898,12.1515772789693)
(-16.1480505466415,-21.3281142762802)
(18.3375124112293,-19.5937471174591)
(23.1284735456184,14.5912558162845)
(-9.55482805704694,25.6895603715305)
(-26.5697606110937,-4.35432210941944)
(-0.228887323110936,-26.6670885552755)
(26.5643524106968,-4.90298718210814)
(10.0547584165789,25.4870240816659)
(-22.9970805572684,14.8182224648369)
(-18.6527985638815,-19.8064550268662)
(16.3075656776337,-22.0313623727683)
(25.0628211489510,12.0142284870636)
(-6.86712040576070,27.0497990811394)
(-27.7266030691644,-1.58586844539590)
(-3.48273703799276,-27.5403263692944)
(26.6087347569941,-8.57033907059011)
(13.5612275288271,24.6073427909207)
(-21.5852747940898,17.9794811553655)
(-21.6933100934150,-17.8819286695920)
(13.5493727999690,-24.7310225545706)
(26.8415138188698,8.66011574804547)
(-3.61494026594067,27.9544423562266)
(-28.3734763069224,1.49007974469708)
(-6.95980348070026,-27.9538789586772)
(26.0778024915215,-12.4673788420747)
(17.0551354015155,22.9105523212248)
(-19.4315665957379,20.5986098234776)
(-23.9117093735571,-15.8105798939946)
(11.2162760979068,-27.0230262472582)
(28.9099408110172,5.58467724005737)
(0.0688214035820436,29.2615780247914)
(-28.7848728979351,5.36439767933406)
(-10.7806199182132,-27.5525262504718)
(24.9419878721524,-16.0347851762564)
(20.2316976888917,21.2865324476061)
(-17.5048421709307,23.6109772514341)
(-26.9573113058449,-13.2077651708872)
(7.50816215556907,-29.5148640888551)
(30.0154909516880,1.35744402211892)
(3.68440581150503,29.3379985356185)
(-29.1139313086738,8.51430976763663)
(-15.0017683180823,-28.1567625369474)
(23.8904535052244,-21.8156677139276)
(25.5615566430871,17.1553146160570)
(-11.6357898374478,26.1045519984514)
(-26.7598295367837,-8.30067442519677)
(4.43002460734234,-28.8632160057853)
(30.1908878810621,-1.41314770774858)
(7.49910557579642,29.2835611023508)
(-27.2996278058224,12.5854988249896)
(-17.4573822144803,-24.9125910264335)
(21.2672196661797,-22.1726267885776)
(25.5901296943350,16.6105194361833)
(-12.1936158725297,28.0762455409578)
(-30.8776570755530,-7.32319376708793)
(0.451379056851291,-32.7777817938177)
(31.5420438246348,-6.94153440949668)
(11.9899493937296,28.4506709320503)
(-26.6461569102336,15.6794209847979)
(-21.3768384467388,-25.1930800232667)
(20.1672346232631,-28.2292072018206)
(31.6592755504361,11.8107690630411)
(-4.82380113407779,30.8606890805729)
(-29.9684655356338,-0.849402571361137)
(-3.49809657896958,-30.8722692425536)
(30.6771897707475,-10.0412922489852)
(16.2399046507670,27.5780547250899)
(-23.6247995725348,20.3581939843525)
(-23.9534902708636,-20.1648057359953)
(15.8191390719322,-27.7826242353345)
(30.3874097172130,10.2908603433481)
(-5.06297637355734,31.8343445087233)
(-33.6413220502137,0.544452191631531)
(-8.57960044403145,-34.3024814717808)
(30.5841776566191,-17.1219975738307)
(21.6772275147162,23.9312861434623)
(-19.4643083039138,22.6183522035552)
(-24.9831773761895,-17.8049303389026)
(14.3017784206033,-30.0385823278209)
(33.6353205162219,7.25258949077906)
(-0.0861983528369979,33.8950872565120)
(-33.4940975181898,5.71713855517113)
(-12.6359485796818,-33.0028720615763)
(29.3202706999442,-20.5091319367039)
(25.3265410927399,22.5686096843333)
(-17.2165706128065,26.6196666311274)
(-28.7923179200653,-14.2083742814431)
(9.23607524826949,-32.9315060970687)
(34.6292507502527,1.05067159538162)
(5.95071348030063,32.2553622015709)
(-29.8609178591032,9.85135576987348)
(-14.3112804436014,-29.2495404706633)
(26.8207475207755,-20.8169293843546)
(25.5635168758751,21.2377651092865)
(-16.4876841646308,27.1846576970659)
(-29.8404719041931,-13.9567563740134)
(9.14500933894174,-35.0452693785795)
(37.9999898635545,0.00841174143895251)
(8.89061845522916,35.9051570859232)
(-32.5359780186059,14.4363360359058)
(-19.7610290862483,-30.5811294714348)
(26.8324294200069,-26.9371366480502)
(32.2610781378145,19.2948011643540)
(-11.8524706707499,33.3016098657780)
(-33.6205248821850,-7.26346204991958)
(2.33905829180693,-35.8951395435917)
(37.0663038824671,-5.40208234570073)
(13.0010585536430,34.7560315078316)
(-31.7289830073833,18.3526645245824)
(-24.3347415066957,-29.4979796842752)
(24.4196700816113,-32.0552213749896)
(36.8878486960803,14.9657694904526)
(-6.11098347552830,36.2017089332543)
(-34.4395234363705,-1.44186911321296)
(-2.63996057606515,-35.4778372835655)
(36.3361675558823,-9.87643084320045)
(17.7396688639854,33.4688171565943)
(-28.9235394749837,23.0460840116098)
(-27.5868184349026,-25.1592130414627)
(20.0529966229087,-33.0389533287141)
(36.5406288765203,12.2336027017615)
(-5.15523200458311,36.5230759587658)
(-36.7337705705442,-0.644736297175523)
(-5.39052064823610,-39.1819550824148)
(39.2861433300533,-15.4622219308090)
(24.8794174594568,33.5339641461446)
(-25.9264291214720,29.1873221804311)
(-31.2817010701453,-21.1371494133596)
(17.0564476949309,-35.4160389659963)
(39.8021589192552,9.88607185703635)
(-1.12978314129373,40.9431533762867)
(-39.9767588163284,6.23845632254328)
(-13.3739386524845,-39.0240245983281)
(36.2776000789189,-21.7755486754322)
(28.8731450357714,30.1517729694551)
(-23.4405847359764,32.6281048901553)
(-35.6361977431064,-18.3110705711918)
(12.1532650453049,-39.8086877424337)
(42.1410730238567,3.14182272941453)
(5.42715890704414,40.4834962008696)
(-38.0207296532427,11.0838506603748)
(-16.8416557542590,-37.1975834296693)
(34.8734893490552,-25.0573841109031)
(32.4096720952246,28.4681479255623)
(-21.1253569235796,35.9990167268019)
(-38.5970562474379,-15.6941107812110)
(9.46839086167818,-42.7165494063688)
(45.4239481647942,0.0535624430889090)
(9.61342398460528,44.2097729657919)
(-41.7461883053605,17.2873297128375)
(-25.8879803530604,-39.4364984337695)
(33.0360413301468,-36.2658878273380)
(42.4298215867417,20.9222094571018)
(-9.94283370833819,40.7565002570516)
(-37.5034882019292,-5.81794850796318)
(3.77042575602976,-39.6864719219901)
(44.1784342230045,-3.68726741179348)
(15.0458505044724,43.6055099825143)
(-37.9939249718962,23.6995371085271)
(-28.7865028470924,-32.5560426833799)
(28.1116811197073,-34.1004393944964)
(39.9000436805057,21.6583066240667)
(-13.2931275412518,43.4540255200550)
(-44.9251875433343,-5.37029145343144)
