133648977500290800142661619768.
0.040000000000000001
(-12.8812154988207,5.48043179763882)
(-8.85521857391008,-11.4167220705973)
(8.54855836241910,-11.9881487729459)
(13.7096121762066,4.70556361598093)
(-1.04435829966632,14.1767543179046)
(-14.1284070542824,2.58026091328328)
(-6.56647152231230,-12.9214675836581)
(10.0268529595532,-9.61286613848092)
(10.7601174654444,7.12125091734402)
(-5.49765842113414,11.8098093519711)
(-14.2756315948030,-3.15930442707724)
(-1.81838576271835,-15.8947983768774)
(14.1344347063022,-7.20968130329569)
(10.1542620506505,10.7599760867854)
(-8.32511270778774,12.0376922718291)
(-14.8218281121211,-5.12642166609243)
(-0.669322294979948,-15.8014445498428)
(12.4600659985549,-5.29044643431526)
(5.00763722775006,9.19186960265989)
(-11.1048310002782,4.38213263679427)
(-10.0515504632805,-13.8371913988299)
(9.05728829763925,-18.4656325779456)
(19.8807812512768,-1.39253036929307)
(7.31352493177488,13.8245700545542)
(-9.83251726488388,6.11207964324544)
(-6.08292507476985,-11.8934888731764)
(12.9791508020114,-12.0567625907119)
(18.3425734580122,7.61931460395109)
(0.190596207014599,19.2116676430703)
(-16.8646779320686,5.35769291953666)
(-8.99343772995377,-14.8883189805514)
(12.1150974545481,-13.1387503790387)
(15.9391908641462,7.27985086518532)
(-2.67901090412326,16.2109992098483)
(-16.2173584436378,0.595877333577651)
(-4.79969546425146,-16.6063301999742)
(14.7464637149946,-10.1666379121900)
(13.6282979567556,10.3873918288275)
(-6.61046926109997,14.7394695718994)
(-16.2861840175216,-3.67260157975286)
(-1.17736497974682,-17.8919900940906)
(16.3734891167510,-6.97111228336346)
(10.0104913055427,12.9974816208966)
(-11.8207277834842,11.9488946199571)
(-17.5430979449555,-10.3800938371197)
(2.20613342895555,-23.6394579602484)
(21.2827881236812,-10.0903565798863)
(15.5715623195247,10.8530333762738)
(-3.58503745069737,11.5526865067877)
(-7.86365474109193,-4.63404328994587)
(6.29097771176982,-10.7365873155358)
(14.2987689094262,2.46756887363415)
(2.07502039961606,13.2489758465302)
(-12.0328207851594,2.96951638466692)
(-5.06894065221653,-14.4074641063014)
(14.7923523613741,-12.3140288428598)
(18.8601747265327,8.23485440728818)
(0.189299696046035,18.6242703146372)
(-15.1879083294188,4.07162370707576)
(-5.71754846400874,-14.2765069395504)
(14.0720918475308,-9.83692564164676)
(14.6427013702113,10.5357884279839)
(-5.26373315326036,16.5259755163312)
(-16.7266072434419,-1.11018982665864)
(-3.21132917595618,-16.8901724097130)
(14.9629074406939,-8.18740130012150)
(10.5788816890851,11.1356605832901)
(-9.90938406827772,10.8927826132989)
(-15.1498537299823,-10.6396427824058)
(5.24635716319801,-23.1819347111920)
(24.7958648253331,-7.94223374507699)
(17.7897957659233,15.1141763756819)
(-4.19960502629798,15.9998267380883)
(-9.94382801356086,-2.56981629873163)
(5.95103262270637,-10.6369277913270)
(16.3919165292632,4.12047701697874)
(3.08756562914969,18.5008330517738)
(-15.7295826969026,8.96702640613230)
(-12.2606754256637,-12.5799754342590)
(9.22640289954087,-15.7451682736091)
(18.0163920498813,3.52497218970486)
(1.93473020821901,16.6220662559198)
(-14.6555115152671,4.21116161112839)
(-6.69317066832003,-15.2727067821020)
(14.5648297314143,-12.7727496578189)
(18.0488548682448,8.44821383468970)
(-1.25804751958782,17.4791903164405)
(-14.7905398372492,1.35186021732471)
(-2.53593412925889,-15.7035234118623)
(17.2643891597039,-7.98685906725559)
(14.9119469367936,13.5220442601076)
(-6.73582255785579,17.0874591593826)
(-16.0869105324491,-2.92631046075463)
(0.765487566005615,-17.3571984039859)
(19.2933532578627,-4.90137103647622)
(12.2963093337507,16.4527404550720)
(-10.1836934038495,15.6257550144260)
(-15.5418614253886,-6.03860226556269)
(3.59072203552989,-16.8582092064004)
(18.7324737201488,-1.44290690719701)
(7.71649579079758,16.8228672443077)
(-12.5992576859169,10.5817215856268)
(-11.4307541664955,-10.8337583604191)
(10.0534133897766,-15.1035340495734)
(20.0425830774644,5.04164700468814)
(3.03424631994975,20.4973399811948)
(-16.7924744624785,8.36312042126422)
(-10.6753882953287,-14.0905560872191)
(12.4751686961328,-14.3822446626541)
(18.9578126638117,7.64442525575186)
(-0.359846141425490,19.6091709658829)
(-16.7340423473404,4.18976620627226)
(-5.95834215062389,-15.4482051446947)
(15.9085013755939,-9.88846777165502)
(16.2070728784354,13.0232043010147)
(-6.05453294131638,19.6026092600451)
(-18.5440911870396,-0.0111231326092845)
(-3.17770342099450,-17.1799241110351)
(17.1660067298379,-6.88821151213634)
(12.3261369660135,15.3460122809999)
(-10.6002725331108,16.3134385161594)
(-17.6251458189499,-5.82133148187966)
(1.96464506505261,-18.6384492875530)
(19.6216779808137,-3.21269571480955)
(9.49856161288320,17.8600644092437)
(-13.4114959261141,13.6458669653840)
(-15.3050105393887,-9.53650186277828)
(6.59585089663879,-17.4179938621758)
(19.9603525877304,1.63924362604114)
(5.15043962458097,19.4674528993823)
(-15.7096884447166,9.81860620749404)
(-11.5335209701155,-12.6533345837733)
(11.4446755770060,-14.0241033611600)
(18.6045919676967,8.38946647120460)
(-1.68829016149991,21.5263757285989)
(-20.2479241570828,5.31941377846570)
(-9.74539266392137,-17.1355679783025)
(14.6790451569669,-13.0717114418120)
(17.1553523083001,11.6078553210684)
(-6.21545956830305,20.5494274398345)
(-21.2730643929678,0.235036427406763)
(-5.79001516115764,-19.9027194960839)
(17.7271313779893,-10.5056499215793)
(14.9203437380769,14.5198962534597)
(-9.91376871009304,18.3109318454970)
(-20.0462701011520,-4.73806929667511)
(-0.369041752614232,-20.6208398317892)
(20.2221280555952,-5.76152221010629)
(11.2930762991722,18.1095995498434)
(-14.1754365690864,15.8034021145277)
(-18.7071005273654,-9.42979391092204)
(4.46681590463850,-20.4789750996934)
(21.2378970218754,-0.982841461878078)
(6.75690247978588,20.3877126721703)
(-17.8127755265625,12.0021811286929)
(-16.2629871113364,-14.0456886944321)
(9.31232739505039,-19.5306563354139)
(21.4068511742410,3.66180562989285)
(2.24077750812012,21.4435655126456)
(-19.9648419584399,7.62229147773512)
(-12.4613344163933,-17.4630638787947)
(13.7386102427584,-16.8198012144153)
(19.9975787479693,8.64909552755239)
(-2.96884610245361,21.3663978965306)
(-21.2688353361327,2.48597601400409)
(-7.77341477246703,-20.1566599504144)
(17.7044184092575,-12.9933321540245)
(17.4519924266336,13.6226555906679)
(-8.44226833516817,20.4432629997301)
(-21.9515415667964,-2.80442241907776)
(-3.08491561822591,-22.0223103033391)
(20.4406041278024,-8.85224844583547)
(13.8623073892215,17.3798813669951)
(-13.3039721711759,17.9377435287122)
(-21.0712427194797,-8.19845574939156)
(2.09814996139481,-22.6106972369646)
(22.0738787910429,-3.99961105579886)
(9.23691240727260,20.2263028918505)
(-17.7093047207335,14.1672371768810)
(-19.0907768028831,-13.5595774848477)
(7.22221533792487,-22.2982153956922)
(22.4477706078529,0.721737914629912)
(4.00692297591496,21.3041659695476)
(-20.9111894939821,8.53518703345312)
(-15.1104474396247,-19.4256627243105)
