290932446696986343750382659969.
0.040000000000000001
(-1.92473778142966,-4.36547718533995)
(3.11756987649816,-3.75611707917604)
(3.94042961986147,1.20682782049311)
(-0.534295751481491,3.28237040368317)
(-3.62143513874136,-0.424066857867626)
(-0.876510179324202,-4.22508977239263)
(3.31250723094374,-2.47665730665046)
(2.45790444314236,1.90813538159292)
(-2.10467159050973,1.91948234289573)
(-3.14111356307740,-2.77052604350653)
(1.43717544424402,-5.02870643680743)
(5.01888628901871,-0.924093466200371)
(1.85918280275368,4.01249758575405)
(-4.24022335956333,2.50072774407225)
(-5.08756044067190,-3.94852613901986)
(0.323607479640946,-7.13421490038562)
(4.69583864503394,-3.79384376864607)
(3.15870164486947,0.273478991644718)
(-0.115799769679076,-0.704484444661933)
(1.09992414937759,-4.00757882471077)
(5.39117217597532,-3.08808613602994)
(5.94708761460919,2.03247032276013)
(1.16582599009377,4.53050562029883)
(-2.60911106039894,1.07223408470200)
(-0.488669515667661,-3.02333689969999)
(3.61195522829112,-1.70406292315599)
(2.89663884427969,2.68509043791911)
(-1.92404130661111,2.93920213737590)
(-3.52346754662382,-1.94668286631849)
(0.939305768968681,-4.86948586707462)
(5.07253040819909,-1.06455900168798)
(2.26448513892583,4.43880952938479)
(-4.54818883455498,3.58443219855672)
(-6.69423242977557,-3.35565623759168)
(-1.69376551487558,-8.23051941428022)
(3.86320349144412,-6.37950292064692)
(4.14935532281366,-2.34712776108921)
(1.87398942523119,-2.20717716094398)
(2.98029129215056,-4.53118008969707)
(6.98104944983622,-3.36537436822728)
(7.70982232909395,1.89267395829312)
(3.06683970507766,5.04434005283421)
(-1.31298435394021,2.28748050133618)
(-0.170673891239321,-1.97526881497902)
(3.71643278046816,-1.58888315354305)
(3.86837599505763,2.34360717379266)
(-0.156655861398944,3.42086855326584)
(-2.29820541585129,-0.207154626621317)
(0.606637755048241,-3.04460980078132)
(3.87459819440028,-0.703320893737118)
(2.01762370398330,3.23845817711719)
(-2.82913918011673,2.41465113582110)
(-3.81919363042604,-2.81390616052494)
(0.645044750500985,-5.72649785318766)
(4.68027184985527,-2.89390847198431)
(3.51389577023335,1.22492111131573)
(-0.0573260356760756,1.22114708670838)
(-0.637214228527721,-1.59324513389387)
(1.50361875808192,-2.16977855332084)
(1.60123339474580,-0.154773971207090)
(-1.20821313213031,-0.342662789951622)
(-1.84078126140181,-4.39488373833912)
(2.70259383332634,-7.03360952657208)
(7.51883760877840,-3.44978403530085)
(5.90719743607909,2.74870970988003)
(-0.796890633553117,3.46356496569838)
(-4.15793088614872,-2.91287411959314)
(0.401400100937811,-9.00852748899239)
(7.86666653711667,-8.07109556671243)
(10.7592822690999,-2.11911106635149)
(8.46163852175656,2.17134697494886)
(5.95789545128096,2.72125085422401)
(5.48668803443987,2.94887515813900)
(4.31986152234205,4.56336419931396)
(1.08574684204557,4.59982587601337)
(-0.630319632720491,1.27210098067795)
(2.12391802984912,-1.50188942852998)
(5.80457243133462,0.767146443663305)
(4.48184220566139,5.71052974938767)
(-1.31746919357226,6.45895868267538)
(-4.58039468777329,1.33740224026114)
(-1.51178903030837,-3.39085438169241)
(3.07798997737459,-2.32031974541796)
(2.87775544526297,1.49285470003694)
(-0.748921237221387,1.42421816399673)
(-1.20897352690905,-2.66874602557831)
(3.02821886224139,-4.42231030089146)
(6.03557593910429,-0.970461601530524)
(3.69799310125523,2.43696328416590)
(0.386124419397371,0.564225760403556)
(2.37441905862690,-3.27112604905974)
(7.68679517565789,-1.78594797885597)
(8.20198436312242,4.88325096386057)
(1.66393642018183,8.33966001574815)
(-4.24176953453042,3.69985371059069)
(-2.39748117244869,-3.15455182022517)
(3.81967422098777,-3.84987306658890)
(5.90759222615637,0.727182417055120)
(2.86861216308806,2.66288667311201)
(2.00269285653251,-0.257907887059760)
(6.59443231793452,-0.931878645894857)
(9.52562880259153,5.53517150478138)
(3.50528102525128,12.5723258634875)
(-6.78004920778850,10.2303202179089)
(-9.50016526374011,-0.163693311206013)
(-1.83177797970736,-6.54777509060535)
(5.73274235842096,-2.23877887759190)
(3.75877925600948,5.07986366002387)
(-3.32634884121502,4.53259784887598)
(-4.26527774487341,-2.61998175485320)
(2.58627756375532,-5.49108078099099)
(7.32552549680836,0.179774336689744)
(3.45786903119084,6.03934632092737)
(-2.65466945455465,3.88957344022977)
(-1.70069641554252,-2.12334603188548)
(4.44126422543560,-2.08151580836263)
(5.64295762480231,4.43296871744665)
(-0.903081015009056,7.49125494704851)
(-6.03195441814139,1.82058733822950)
(-2.13214534400437,-4.89686123855852)
(5.30294838964885,-3.15937647321177)
(5.59796037985031,4.21443855702858)
(-1.27712387235768,6.17634153971678)
(-4.62171484490823,-0.0843275912993215)
(0.982562084158311,-4.82663785279804)
(7.34627885848704,-0.245864061355261)
(4.62995084669410,7.66111619946294)
(-3.98206087890731,7.63246218913182)
(-6.70380527651559,-0.365037747630644)
(-0.267507405551312,-5.05582808406214)
(5.49338658221204,-0.324038886446076)
(2.25833064489614,6.09649835321460)
(-4.70230259165929,4.39180458174826)
(-4.74845191493281,-2.78783093296730)
(2.12750509653223,-4.58823802756884)
(5.44480379567567,1.60731723770285)
(0.124625131792850,6.27112808501837)
(-5.81973358019662,2.12904080788411)
(-3.32187366348962,-4.83445236453813)
(4.08443738499239,-4.30693722460126)
(5.51206583425479,2.89741370826250)
(-1.00584529816277,6.05569730076537)
(-5.63062182852495,0.583196418797228)
(-1.51497607421221,-5.18401599521249)
(4.97592691434359,-2.61739134453370)
(3.96933200303654,4.20273820598179)
(-2.92939978265397,4.70507392117741)
(-4.99901861247537,-2.08696630204825)
(1.35562049427837,-5.88655651759624)
(6.93532591604918,-0.558194951134796)
(3.34353639330310,6.48332243055557)
(-4.41992337038847,5.12051651937310)
(-5.28073728000329,-2.47895814992569)
(1.53747192810392,-5.13603661190022)
(5.53329405350650,0.697353610944446)
(0.738553830587952,5.82135884107644)
(-5.41987809416854,2.27516376845054)
(-3.45199037968517,-4.65699498649187)
(3.79576365419850,-4.47182863780496)
(5.39670954058379,2.62137996870839)
(-1.13611692726877,5.92340240203931)
(-5.99582204130769,0.362247700383550)
(-1.80699810872117,-5.77112853266585)
