11580026442432493576924087042.
0.040000000000000001
(1.71051748836821,-4.42039001900088)
(3.48324800628119,-2.07079787566960)
(2.05654952408431,0.548205038271373)
(-0.811302440205697,0.165942503876335)
(-1.34433116622315,-2.60404400774881)
(1.10353083960352,-3.93781771781117)
(3.08331840049269,-2.00529675317993)
(1.76715934511306,0.462807744968087)
(-1.11018583067049,-0.0965094539089400)
(-1.60173932001810,-3.14274435580451)
(1.00222087144446,-4.76468564834452)
(3.21875558918634,-3.12543051761857)
(2.31848376290789,-1.01966792156953)
(0.278742186028647,-1.85813109813756)
(1.06487281373056,-4.60836792354058)
(4.83565928442061,-4.90240128648559)
(7.19095101066194,-1.08321441018903)
(4.85107636968203,3.06966131377680)
(0.227341389478765,2.94272979601819)
(-1.43602442864991,-0.936600068348847)
(1.28098361651328,-3.56221534804375)
(4.33543280950553,-1.92571185360971)
(3.70487900016762,1.30612131433903)
(0.563348782718088,1.67909794154550)
(-0.689886370396950,-1.04733077064452)
(1.41522244701462,-2.90062382603816)
(3.59702166260171,-1.41904449893960)
(2.65163189836888,0.978534136410600)
(0.0222871229100702,0.580358721784221)
(-0.298140898975696,-2.24018792600806)
(2.47459822322461,-3.47028719585034)
(4.64362005463432,-1.12583657050101)
(3.10379129733169,1.81662737003090)
(-0.287956371914994,1.39528402267817)
(-1.16208786165687,-1.92705520592589)
(1.46020051424594,-3.91533333447831)
(3.96838460494770,-2.34403713090764)
(3.24135769675679,0.125495762501388)
(0.850056427707902,-0.138219766016389)
(0.590021962350457,-2.66600945190116)
(3.02257127880627,-3.79578101030706)
(4.86119722435615,-2.08056972794770)
(3.97142332874080,-0.283840583062800)
(2.56321284272001,-1.05226273716434)
(3.72883297618502,-2.70384085521101)
(6.35457659008728,-1.65337036769557)
(6.29480905240348,1.74803394924013)
(2.78629434056785,2.83249768282836)
(0.763465169212737,-0.731785358002014)
(4.57211802685835,-4.33107354747349)
(10.9182876284137,-1.40779962691741)
(11.4490741180275,7.34980600348479)
(3.14877261560468,13.0857545687358)
(-6.60575166768560,8.83599295662138)
(-7.90495031783261,-1.46442431907158)
(-0.141187616968891,-6.95634210385721)
(7.08160779821374,-2.65419951520910)
(5.56998962328639,4.73781231056197)
(-1.66529433450721,5.38414952473153)
(-4.65144066091903,-1.50691909785745)
(0.870377164971322,-7.15325149218473)
(8.45949385290241,-4.56213149404443)
(9.55401268961872,2.98307534905891)
(4.07421069078342,6.78210486893783)
(-0.424179102319739,3.89153589154517)
(0.925248144036914,-0.0255344548616713)
(4.50827970487968,0.891132487700493)
(4.09510376267653,4.91680539944618)
(-0.328993119240546,5.81107197806945)
(-2.83766965689755,1.85630581986122)
(-0.0645264649079946,-1.77984066798957)
(4.09591937873971,-0.328834434914455)
(3.95640670269882,4.00053613945703)
(-0.135795229296705,5.21778262297130)
(-2.47966827068737,1.88324874427425)
(-0.0889480176448660,-1.05989600702537)
(3.18744415268322,0.618689474954417)
(2.19118070002573,4.42479298993779)
(-2.16900980245507,4.63007181901445)
(-4.05205024393315,0.381986783630045)
(-0.812346216475851,-2.92773509027109)
(3.19288628936890,-1.04881584967457)
(2.51221311698734,3.18496521807513)
