89869857757291582322528149832.
0.040000000000000001
(-7.38673878041487,7.50505827571432)
(-10.3248339121464,-6.41462029208080)
(2.39055547592543,-13.2131779979459)
(12.4730061382755,-2.95451916299226)
(5.37363654001305,9.35194220788570)
(-8.29554722300424,5.55451625177850)
(-8.03077499540161,-8.97744095262167)
(6.58761971878760,-12.8460767975490)
(14.9167414255160,0.321305265377571)
(4.98976247729157,12.3725982277223)
(-9.11222566599920,6.70276009581178)
(-7.58534305833647,-7.82571025254404)
(6.50356161342366,-9.86561208672614)
(11.8869460936964,3.37858884488511)
(0.209134906411299,12.2083840086464)
(-11.7608351668911,3.30688543319617)
(-6.65444748798863,-10.6956518792297)
(7.99598754552576,-9.59765726988523)
(10.6010451392526,4.77327625702072)
(-2.93586117780660,10.9992458977928)
(-12.9698856615421,-0.769617149230563)
(-4.50493926638117,-14.2436034039721)
(10.9412526143064,-10.3892304338781)
(11.8695214030956,5.06086512172090)
(-2.18418803903417,9.95993125453711)
(-10.1892043277769,-2.15091042491783)
(-0.342094917631479,-12.8621713470536)
(12.7888585616772,-5.94169901526300)
(9.66107519282146,8.87298920726184)
(-5.56064609655844,10.0802097187728)
(-10.9821371801264,-4.09992039506797)
(1.01221540099892,-13.0136056419379)
(12.5037452452353,-3.77489320781518)
(6.21705463460179,9.67771626434883)
(-8.91157579660911,6.76474877952241)
(-10.3132677915714,-9.42519343517795)
(5.35114306040557,-15.9713803287211)
(16.7503077343788,-3.02571401797472)
(8.15877065067525,11.6800323431521)
(-8.00937391876345,7.90392441669424)
(-8.88410460672140,-8.38482109212611)
(6.41550704952625,-13.8086597510973)
(16.0828124019245,-0.950557366759162)
(7.12269487427614,11.7484154950081)
(-6.67804565471001,7.15352118694984)
(-5.68010715620746,-6.25449238788639)
(7.02868502032154,-7.84310359025694)
(11.0416386227188,4.47420116556794)
(-0.627044382312657,11.5297967339780)
(-11.0731422845813,1.74020905123163)
(-4.63221723826901,-11.3863887749587)
(9.67864361063286,-9.02902475293844)
(11.2063830907790,5.07406715553665)
(-1.89543779038955,9.95584950865050)
(-9.82094125326120,-1.65505449723992)
(-0.372781269217129,-12.4208688400940)
(12.7071425857897,-5.94927724738742)
(9.75959904474840,8.58756623750909)
(-5.43447556341331,9.40876331092502)
(-10.3820361249023,-5.71276003735731)
(3.42730800185494,-15.2764747834761)
(17.4083652142441,-4.77195276655202)
(12.0785615281125,12.0020874542521)
(-4.95801838249561,12.3359148355672)
(-9.90468502054288,-2.97201428812558)
(3.02129237342002,-11.1051430056527)
(13.6415628739330,-0.496092687159809)
(5.63188038297466,12.5222945843767)
(-9.43978193697971,7.95247556838452)
(-9.08399889121501,-8.17600318676046)
(6.81432224406040,-12.2829446685813)
(15.2441911642085,2.17345448433643)
(3.45279811859247,14.5663880640917)
(-12.0766403100320,6.73769403399200)
(-9.14357581114644,-10.4327782436158)
(7.93627342434357,-12.4692113838117)
(14.3616722456069,3.24503024635326)
(0.788786923355548,13.5069727424007)
(-12.9293312482284,2.94420606552411)
(-6.49499831540029,-13.4267859386861)
(11.0701794112243,-11.8007892906172)
(14.0990163775831,5.60104158886532)
(-2.44448345720539,13.0892808665314)
(-14.9211055867897,-1.67138919502463)
(-4.29992219514551,-19.3773475078153)
(16.6568479110302,-15.8452923665144)
(21.1325184250159,4.23968346155253)
(5.43834719797552,14.4629734970185)
(-7.16519820927600,3.82057198478839)
(-0.311231127345537,-9.38070055767433)
(13.3263582355781,-5.52346014671852)
(12.5811988284658,8.22584157323264)
(-0.469210867930268,10.2530802778147)
(-4.42366986947983,-2.18087004448722)
(8.35421229775034,-8.49577040378212)
(19.1073838857586,4.13437687966414)
(9.81576742966158,20.3941262065921)
(-9.60208375423412,17.9434363867387)
(-14.4454161259688,-0.258954414215411)
(-0.240053285820239,-9.75125933787603)
(11.2060969830445,0.620160733404917)
(3.55263058311887,13.3268522823223)
(-10.7662318194818,8.41746445677885)
(-9.52332897146825,-7.15577717737732)
(6.10813436381502,-10.0873516384495)
(13.0516104532774,4.46384576955282)
(0.469700240818623,15.1691504661360)
(-13.6850606736864,5.65974991688336)
(-8.50313171508703,-11.0217342626756)
(9.10910834380951,-10.9080705974951)
(13.9793140557088,5.96550981478777)
(-0.851841715380656,15.2446217043805)
(-13.8069754224440,3.47967326152739)
(-5.99049240083002,-12.2228525670436)
(11.2682694461178,-8.96512340114569)
(12.7774653220747,8.56703686108767)
(-3.82589975103349,14.7558115870706)
(-14.4403832650320,0.272048330510200)
(-3.38857968895658,-14.2125220062365)
(13.8056264617174,-7.86518672817569)
(12.8773502770239,10.2256663119821)
(-4.15566835985351,14.4149834812028)
(-12.3224807266179,-0.263561619679629)
(-0.329803273392420,-11.2768210706891)
