23250719692201127177747536545.
0.040000000000000001
(5.00543441625614,10.2235727938616)
(-9.19032527972199,7.34952488680608)
(-10.7569974123740,-7.23377172625755)
(2.69917271470819,-13.1706612745184)
(12.3020815884688,-2.05962338898530)
(4.24934119756724,10.4409359241801)
(-10.5913438426416,6.21778605905916)
(-11.3992183286234,-9.93651454449009)
(3.86165594924048,-16.6030185586746)
(15.5834782939498,-5.00928857980245)
(9.36296024275260,9.29199570840404)
(-4.83636469630289,8.19327284946862)
(-7.41947868049148,-4.45375450263341)
(3.51380427699688,-9.49837581580159)
(10.6135010904707,-0.0954960853290408)
(2.92336071285371,9.07888740344236)
(-8.24222229996845,3.66317046575085)
(-5.82240777657904,-9.12704083044468)
(7.86363513720231,-10.4875841231830)
(13.6482025967338,2.80317602417348)
(2.59917792014732,12.9803840740634)
(-10.7947517985257,5.95640956769343)
(-8.57934306674142,-8.62205649533608)
(5.37204102362539,-10.6838669489396)
(10.6876897727538,1.91825738592827)
(-0.570087863436879,10.1442477583638)
(-12.1629177300007,0.752431112333063)
(-6.28875945775135,-14.2794982313554)
(10.7832200477140,-13.8044290142087)
(16.4249322206339,2.76944146272708)
(2.75039829606613,13.7406908507898)
(-12.0120703325300,4.50340737338993)
(-8.10598745962824,-12.3595849868746)
(8.92081204924093,-14.2237366118143)
(16.1498909119025,0.803027653154886)
(4.81165152594169,11.9325136077116)
(-8.34482271861491,4.83181767077046)
(-5.13614551264831,-8.99049111860878)
(8.70071282783391,-9.25091718422230)
(12.3548423450451,4.15731119616897)
(0.0368324877535307,11.2892875709084)
(-10.5234665709532,0.983519747646955)
(-3.35107784749888,-12.6577296003471)
(12.5051150224150,-9.84099343078289)
(14.9911797961170,6.64940547860011)
(-0.0539685128554970,14.5685344326987)
(-12.5217049569552,2.92125033292346)
(-5.57455927592242,-12.5246756986809)
(11.0661786134966,-10.8363102886389)
(14.5879117371316,5.26397182410415)
(0.597729980498552,13.4236280346980)
(-11.1628237256769,2.78423123777772)
(-4.61201204455879,-11.2584620991917)
(10.4020749101532,-9.01125822513854)
(12.3479460503400,5.89015349136683)
(-1.54425825565055,11.8787828005788)
(-11.4610804500858,0.00979252516687941)
(-2.97437550890750,-13.4015147183387)
(12.6687310295243,-9.68339959885044)
(14.3413488423003,6.11940730584632)
(0.466086367137810,12.5589701739018)
(-9.28815075344277,1.84406086036814)
(-2.00335275637366,-9.81836549984578)
(10.6453908552585,-5.80969978961353)
(9.76251362739747,7.24709916926636)
(-3.28955218783996,9.43394092799309)
(-8.72815800524072,-3.27282700850097)
(2.93775687236780,-12.5135282256722)
(16.3598077458186,-3.51464586866007)
(12.2935429502191,13.1759744349863)
(-5.08238815416352,15.5011181509219)
(-13.2454970111551,0.456150553550240)
(-2.25529124511544,-11.4978484345550)
(11.6259004687452,-4.68742425496482)
(8.75750973556663,10.2552775944645)
(-6.58298280577285,11.6666765494191)
(-12.6311794340207,-2.68476251607251)
(-0.973744888754582,-12.7687990832694)
(11.7758968720113,-4.78823743511506)
(7.69926430919293,9.46681259469311)
(-7.19940693378670,9.62239478386626)
(-11.9976758557235,-4.43997981653608)
(-0.852110186766597,-13.0821291841235)
(9.22809950844791,-5.72442444675951)
(4.01801101580270,3.88177108673760)
(-6.19153161067176,-1.50723340636154)
(-1.21535605112500,-15.5815171692887)
(18.0219436623877,-15.4442861788595)
(27.3444645455533,5.33125105323640)
(11.6795663541423,24.3682851860902)
(-12.3523981252540,18.6081020835797)
(-16.6116258302258,-4.34003174674630)
(1.55770900803932,-15.4274605888919)
(16.1116307329525,-2.64895051540502)
(7.90899453452463,13.5806038996604)
(-9.55437713777652,9.40008302200466)
(-9.76790148527198,-9.17383159095929)
(9.10499049961299,-14.8530834635547)
