8003262835021551218601182764.
0.040000000000000001
(8.29699048189776,11.8777940651746)
(-9.45796940449232,12.3438014494131)
(-16.5623197860289,-4.27742986880096)
(-4.09778404929441,-16.9457889039358)
(11.3782683596186,-10.3939726056288)
(10.4367271138496,5.08075223159770)
(-3.55829011229043,8.42349691044972)
(-10.2421257086727,-3.61025124919290)
(-0.717638846899008,-13.1111842930114)
(10.7371218730615,-6.72198672694056)
(7.46814361228483,5.66240968462510)
(-5.58813410873776,5.15896007738734)
(-8.44305595856709,-8.84374653509730)
(5.62782622589073,-16.7223572180975)
(19.3775610969213,-5.45372754063335)
(14.1860235099141,12.4582508556773)
(-4.30447313357482,14.6653047645023)
(-12.8182998208274,-1.21224699106407)
(-1.13610913024484,-14.0397226294504)
(14.3748585343432,-7.16111781225392)
(12.7954643233524,9.58956036268931)
(-3.39746884067423,13.5024049866404)
(-12.1428867563420,-0.283299817502304)
(-1.96721590532027,-12.5519091505001)
(12.5680576218326,-6.49982772503283)
(11.0174621203510,9.29936417927958)
(-4.85298381023327,12.7256368267488)
(-13.4077520709657,-1.52025223648508)
(-2.68737456281492,-14.5240487146771)
(13.2007208673900,-8.83259097662358)
(13.2017796449338,7.84990888525568)
(-2.17947319386621,13.2309993764844)
(-11.8426378589170,0.737821084807111)
(-3.04830575403395,-11.8376583288247)
(11.3224765152362,-7.01785685278115)
(10.7571122352009,8.30352993368096)
(-4.44453245013144,12.4398453564340)
(-13.4059384874367,-1.03685279942956)
(-3.39347097250684,-14.1006768192277)
(12.3474902134898,-8.77639789546860)
(12.3075906907492,8.04884779279261)
(-3.95890059336047,13.5699419959429)
(-14.9002727604277,-0.149697708513731)
(-5.88125285301631,-15.3449996425142)
(11.2253374553104,-12.4020624685788)
(14.2243531166553,3.98298528113640)
(0.381318186548059,11.6597160222357)
(-10.5753172246247,1.16021379278348)
(-3.79073719300428,-12.0351859619464)
(10.7232682781426,-9.35670165909039)
(12.4968457232847,5.34643494416709)
(-0.983090932238336,11.6073391743138)
(-11.1570264261243,0.918373038339148)
(-4.50275547744040,-11.7405382980823)
(8.73462171508360,-9.25964762375785)
(9.36790658128611,3.40215193643764)
(-3.11849318385961,6.28425670297900)
(-9.16837236530116,-6.78765958436599)
(3.28872296091334,-18.1208822128312)
(20.4586069936480,-9.90704839661816)
(19.9983605461840,10.2964767478247)
(1.41030629293596,18.1100273871312)
(-12.1950176544006,4.51394370425850)
(-4.40606510547430,-11.8072111886174)
(12.7190197461222,-9.31913359685419)
(15.1747656691472,7.55296922696164)
(-0.314682670672453,14.8177450630023)
(-11.9414113719218,2.00230700840387)
(-2.93591015546875,-13.2089538380342)
(14.9092241459257,-9.09422815375695)
(16.8284560367163,9.92204089972883)
(-1.01862003737915,18.5204970665392)
(-15.6275639240098,4.61721088473645)
(-7.82298036849981,-13.9076839609942)
(11.8370137793804,-12.9926362458826)
(17.2599279718797,5.27863083109697)
(2.06084559418867,15.7205946721742)
(-12.0393839118136,4.42693083012033)
(-5.15485573537637,-12.3343169457904)
(13.3451902952066,-10.5911102069636)
(17.5791052271341,8.13277530633359)
(0.860551874386425,18.4883032803194)
(-14.5728930213781,5.96435798193779)
(-7.62466599691327,-12.7502521568571)
(12.5317281726711,-12.0100021154907)
(18.3405548630991,7.75155530701545)
(1.19703592898531,20.0417059307164)
(-16.4513001560831,7.95251651019093)
(-11.1506007995406,-12.7126992264881)
(9.76497209739768,-14.5270304542986)
(17.8963053229162,4.45584047224123)
(2.21754956698436,17.8841364542815)
(-15.7439349810450,6.72106486400764)
(-10.7855057272860,-14.7354338457907)
(11.8582962953297,-17.7506573199273)
(23.2513671197983,2.37033095937872)
(9.28909883241842,20.0695513733855)
(-10.9150591245270,13.7983707935222)
(-11.2883203860313,-5.65389869131859)
(6.23286215775722,-10.7720241178540)
(15.3476562811757,4.91044155971336)
(2.10918066563555,18.4518242104775)
(-15.7684032138886,9.61539683387653)
(-13.3763752570584,-10.8337464140859)
(6.82709471049662,-15.5667862269277)
(17.9000393445751,1.84209256740493)
(5.02472478103703,17.7973855459187)
(-14.1639992335539,10.6284122320922)
(-13.4683514058411,-9.89483742373634)
(6.22227386423576,-15.8332833578362)
(18.1658416030150,0.868230437922929)
(6.24532580200903,17.4534960747108)
(-13.1017562124942,11.4733941309159)
(-13.4519404936356,-8.57514816903987)
(5.41554505336168,-14.9859199199542)
(17.2553103318856,1.10533716055747)
(5.42466834770182,17.4886174481650)
(-14.1238727762957,11.3263137821180)
(-14.5679835890018,-9.36422911344989)
(4.94307832021750,-16.4518070224499)
(17.8552895137532,-0.181543505148713)
(6.41482586422387,17.2504126559156)
(-13.9028542363567,11.8596774039889)
(-15.3363753836965,-9.27897623198353)
(4.24078426785356,-17.5099886137568)
(18.2727349125684,-1.68695878784795)
(7.73237110511649,16.4972945913558)
(-12.7874050862429,12.0796101921728)
(-14.9102036616271,-8.95811040620790)
(4.66604259139324,-17.6886693817100)
(19.4265541674193,-1.76049264829748)
(9.14178846467749,17.5127509005014)
(-12.3710286562262,14.0648447906892)
(-15.9087397386096,-7.29282383377938)
(3.27273883650781,-17.2593849222170)
(18.8212856461934,-1.97634454354503)
(9.13634259670546,17.9181623981810)
(-13.0783812798125,15.2788854014156)
(-17.9743436337984,-6.53616832706219)
(0.821949023525922,-18.1549383288358)
(17.5283846501245,-4.17983679990410)
(9.39626982778911,15.8556369502843)
(-12.2310086818055,14.2307510132383)
(-17.4657695690568,-7.00334241230128)
(1.14897198981198,-18.7780671780915)
(18.2950069169360,-4.82057454197634)
(10.4628336462920,15.9113819060315)
(-11.7555686308746,15.0218404806638)
(-17.9701729455158,-6.42415767157563)
(0.458237179614587,-19.1700205195496)
(18.4376173039139,-5.70211672476349)
(11.3339137281233,15.6713364096673)
(-11.2628044435155,15.6982039203585)
(-18.4787055943375,-5.79342348723655)
(-0.340322978852792,-19.4901072352203)
(18.4387956283052,-6.59084688291616)
(12.1238311100188,15.3728019888733)
(-10.7882790501318,16.3564979439085)
(-19.0284312193693,-5.10091048384194)
(-1.28260034160158,-19.7275961865259)
(18.1989926137560,-7.47743701771727)
(12.6577884460582,14.9398246184111)
(-10.4944271090442,16.7699070796186)
(-19.6485799044341,-4.68364153184387)
(-2.22684739973953,-20.1961744537180)
(17.9291556301006,-8.54337498427947)
(13.0508522642066,14.2776881866435)
(-10.4130593468058,16.7148858608849)
(-20.3092756182402,-5.12169868353188)
